City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Baturaja,ID,-4.1333,104.1667,73.56,97,85,1.7,overcast clouds
271,Rajauri,IN,33.3833,74.3,63.03,45,61,6.82,broken clouds
272,Imbituba,BR,-28.24,-48.6703,75.2,94,40,3.44,light rain
273,Ananas,HT,19.2466,-71.9557,72.43,71,52,14.32,broken clouds
274,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,63.0,96,99,1.01,overcast clouds
275,Bharatpur,IN,27.2167,77.4833,66.2,72,1,1.14,clear sky
276,Havoysund,NO,70.9963,24.6622,39.2,81,75,12.66,broken clouds
277,Kalamare,BW,-22.9337,26.5703,69.89,37,4,2.17,clear sky
278,Loandjili,CG,-4.7561,11.8578,82.4,78,75,6.91,broken clouds
279,Lasa,IT,46.6166,10.7002,46.0,75,0,5.75,clear sky
280,Zhigansk,RU,66.7697,123.3711,10.62,93,94,4.59,overcast clouds
281,Taoudenni,ML,22.6783,-3.9836,78.4,9,6,12.15,clear sky
282,Sokolskoye,RU,57.1412,43.1589,24.28,98,77,4.56,light snow
283,Avarua,CK,-21.2078,-159.775,86.0,74,75,21.85,broken clouds
284,Nishihara,JP,26.1842,127.7558,77.0,88,75,14.97,broken clouds
285,Valjevo,RS,44.2751,19.8982,44.6,53,0,2.3,clear sky
286,Palaikastron,GR,35.2,26.25,52.0,71,38,11.25,scattered clouds
287,Rudbar,AF,30.15,62.6,78.73,18,1,6.78,clear sky
288,San Rafael,AR,-34.6177,-68.3301,62.22,30,56,6.46,broken clouds
289,Mudgee,AU,-32.5943,149.5871,70.0,72,0,2.33,clear sky
290,Coruripe,BR,-10.1256,-36.1756,76.66,84,46,7.56,scattered clouds
291,Kviteseid,NO,59.4022,8.4927,28.0,89,11,1.01,few clouds
292,Anjozorobe,MG,-18.4,47.8667,62.6,94,20,5.75,few clouds
293,Baijiantan,CN,45.6333,85.1833,41.9,69,39,8.66,scattered clouds
294,Abha,SA,18.2164,42.5053,60.8,58,0,1.59,clear sky
295,Lompoc,US,34.6391,-120.4579,68.0,59,0,17.27,clear sky
296,Nelson Bay,AU,-32.7167,152.15,75.0,49,8,4.61,clear sky
297,Tecoanapa,MX,16.5167,-98.75,82.15,54,0,6.8,clear sky
298,Port Moresby,PG,-9.4431,147.1797,84.2,79,20,3.44,few clouds
299,Necochea,AR,-38.5473,-58.7368,61.0,85,47,5.01,scattered clouds
300,Valentin Gomez Farias,MX,28.2167,-106.5833,72.0,18,0,13.0,clear sky
301,Bintulu,MY,3.1667,113.0333,77.0,94,40,3.44,scattered clouds
302,Morant Bay,JM,17.8815,-76.4093,82.4,57,20,23.02,few clouds
303,Ketchikan,US,55.3422,-131.6461,44.6,93,90,6.91,light rain
304,Atar,MR,20.5169,-13.0499,78.22,22,1,5.86,clear sky
305,Pakenham,AU,-38.0667,145.4833,64.0,69,99,3.0,overcast clouds
306,Bom Jesus,BR,-9.0744,-44.3586,81.36,54,93,2.53,overcast clouds
307,Kuusamo,FI,65.9667,29.1833,33.8,93,90,11.5,overcast clouds
308,Husavik,IS,66.0449,-17.3389,19.4,86,90,13.8,snow
309,Katobu,ID,-4.9408,122.5276,76.21,92,100,4.0,overcast clouds
310,Grand Gaube,MU,-20.0064,57.6608,77.0,82,81,3.0,broken clouds
311,Te Anau,NZ,-45.4167,167.7167,59.18,94,100,1.57,overcast clouds
312,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,0,6.91,clear sky
313,Ballina,AU,-28.8667,153.5667,77.0,57,0,10.36,clear sky
314,Boa Vista,BR,2.8197,-60.6733,86.0,54,75,8.05,broken clouds
315,Rajbiraj,NP,26.5333,86.75,68.27,17,0,4.65,clear sky
316,Eltham,NZ,-39.4292,174.3,69.01,71,81,13.0,broken clouds
317,Kakching,IN,24.4833,93.9833,55.87,32,17,0.69,few clouds
318,Belaya Gora,RU,68.5333,146.4167,2.57,89,81,4.12,broken clouds
319,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.87,96,46,0.65,scattered clouds
320,Bonavista,CA,48.6499,-53.1147,28.0,86,100,10.36,overcast clouds
321,Kenai,US,60.5544,-151.2583,33.8,34,1,13.8,clear sky
322,Gigmoto,PH,13.7796,124.39,80.89,80,92,7.47,overcast clouds
323,Shache,CN,38.4167,77.2406,51.13,48,72,9.86,broken clouds
324,Iroquois Falls,CA,48.7669,-80.6831,42.8,42,75,9.22,broken clouds
325,Kulim,MY,5.365,100.5618,80.6,94,20,3.11,few clouds
326,Olafsvik,IS,64.8945,-23.7142,27.86,87,100,37.67,snow
327,Aksu,CN,41.1231,80.2644,53.01,46,85,3.27,overcast clouds
328,Pekan,MY,3.4836,103.3996,75.2,94,20,2.73,few clouds
329,Victor Harbor,AU,-35.5667,138.6167,64.99,68,50,5.08,scattered clouds
330,Krechevitsy,RU,58.617,31.401,34.7,87,100,7.61,overcast clouds
331,Nexo,DK,55.0607,15.1306,39.2,100,40,18.41,scattered clouds
332,Fare,PF,-16.7,-151.0167,82.33,74,33,20.67,scattered clouds
333,Gezing,AT,47.9178,13.1299,43.0,81,75,5.75,broken clouds
334,Katsuura,JP,35.1333,140.3,64.4,68,75,17.27,light rain
335,Khasan,RU,42.4308,130.6434,38.14,97,100,11.99,light rain
336,San Andres,CO,12.5847,-81.7006,80.6,74,20,13.8,few clouds
337,Velke Karlovice,CZ,49.3606,18.2836,39.2,93,20,3.44,few clouds
338,Janossomorja,HU,47.7862,17.136,48.0,67,92,8.75,light rain
339,Suntar,RU,62.1444,117.6319,21.22,91,95,6.55,overcast clouds
340,Huarmey,PE,-10.0681,-78.1522,71.02,81,28,6.24,scattered clouds
341,Tevaitoa,PF,-16.7833,-151.5,82.31,74,58,21.65,light rain
342,Constitucion,CL,-35.3333,-72.4167,59.61,70,72,13.62,broken clouds
343,Paamiut,GL,61.994,-49.6678,1.6,79,3,25.41,clear sky
344,Norman Wells,CA,65.282,-126.8329,12.2,73,75,14.97,light snow
345,Klaksvik,FO,62.2266,-6.589,42.8,100,75,23.02,mist
