City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Bandarbeyla,SO,77.83,few clouds,9.4942,50.8122,JABIR HOTEL
586,Sorong,ID,78.31,overcast clouds,-0.8833,131.25,The Waigo Hotel
587,Kindu,CD,70.0,overcast clouds,-2.95,25.95,Résidence Okanda
589,Gao,ML,70.66,clear sky,16.6362,1.6369999999999998,
590,Anloga,GH,82.4,few clouds,5.7947,0.8973,Pin Drop Hotel
593,Daru,PG,84.49,overcast clouds,-9.0763,143.2092,Daru Lodge
595,Buala,SB,84.36,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
597,Pecos,US,75.2,clear sky,31.4229,-103.4932,Knights Inn Pecos
598,Shwebo,MM,79.57,overcast clouds,22.5667,95.7,MOON SHINE Guest House
599,Motema,SL,73.99,few clouds,8.6,-11.0333,Diamond Lodge
604,Muyuka,CM,78.8,few clouds,4.2898,9.4103,Muyuka Motor Park (El Paso)
609,Maturin,VE,74.64,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
610,Bonfim,BR,82.81,broken clouds,3.0833,-59.95,
613,Pringsewu,ID,74.3,overcast clouds,-5.3582,104.9744,Urban Style by Front One
614,Sidney,AU,73.0,few clouds,-33.8679,151.2073,The Grace Sydney
615,Kawalu,ID,75.09,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
616,Sanand,IN,78.8,smoke,22.9833,72.3833,OYO Flagship 22887 Hotel Prerna Narmada Vasahat
618,Ugoofaaru,MV,82.29,overcast clouds,5.6667,73.0,Ungoofaaru Inn
620,Lubao,PH,78.8,broken clouds,14.9167,120.55,Hacienda Gracia
621,Vaitape,PF,82.72,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
623,Ciudad Bolivar,VE,81.45,broken clouds,8.1222,-63.5497,Hotel Edi
625,Anuradhapura,LK,73.24,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
626,Redcliffe,AU,82.99,scattered clouds,-27.2307,153.0973,Redvue Apartments
627,Lagdo,CM,82.58,scattered clouds,9.05,13.7333,
628,Laborie,LC,78.8,scattered clouds,13.75,-60.9833,QR Quality Rooms Cedar Palm Villa
630,Marsh Harbour,BS,76.03,clear sky,26.5412,-77.0636,Abaco Beach Resort
633,Hobyo,SO,79.83,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
634,Rio Casca,BR,72.59,clear sky,-20.2261,-42.6508,Hotel Morada do Sol
637,Mora,CM,75.13,few clouds,11.0461,14.1401,Hotel Emergence
